ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,64.61%,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,29.23%,"Hash Table, String, Sliding Window"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,14.70%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,19.56%,"String, Trie"
319,Bulb Switcher,/problems/bulb-switcher,N,48.1%,Medium,100.00%,"Math, Brainteaser"
749,Contain Virus,/problems/contain-virus,N,50.9%,Hard,100.00%,"Array, Depth-First Search, Breadth-First Search, Matrix, Simulation"
1234,Replace the Substring for Balanced String,/problems/replace-the-substring-for-balanced-string,N,33.2%,Medium,0.00%,"String, Sliding Window"
1319,Number of Operations to Make Network Connected,/problems/number-of-operations-to-make-network-connected,N,58.5%,Medium,100.00%,"Depth-First Search, Breadth-First Search, Union Find, Graph"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,40.33%,"Linked List, Math, Recursion"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,26.71%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,15.35%,"Two Pointers, String, Dynamic Programming"
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,20.13%,No Topics Found
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,7.17%,String
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,1.50%,Math
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,12.25%,"Array, Two Pointers, Greedy"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,3.09%,"Hash Table, Math, String"
15,3Sum,/problems/3sum,N,32.3%,Medium,22.29%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,39.64%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,5.10%,"Hash Table, String, Backtracking"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,10.75%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,33.38%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,10.79%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,35.20%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,5.68%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,N,60.5%,Medium,26.58%,"Linked List, Recursion"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,16.43%,"Linked List, Recursion"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,3.61%,"Array, Two Pointers"
27,Remove Element,/problems/remove-element,N,52.2%,Easy,1.36%,"Array, Two Pointers"
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,2.30%,"Two Pointers, String, String Matching"
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,2.70%,"Math, Bit Manipulation"
30,Substring with Concatenation of All Words,/problems/substring-with-concatenation-of-all-words,N,30.9%,Hard,9.92%,"Hash Table, String, Sliding Window"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,22.62%,"Array, Two Pointers"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,7.98%,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,15.89%,"Array, Binary Search"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,1.03%,"Array, Binary Search"
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,5.40%,"Array, Hash Table, Matrix"
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,7.73%,"Array, Hash Table, Backtracking, Matrix"
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,24.09%,String
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,7.15%,"Array, Hash Table"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,17.83%,No Topics Found
44,Wildcard Matching,/problems/wildcard-matching,N,26.8%,Hard,7.11%,"String, Dynamic Programming, Greedy, Recursion"
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,6.57%,"Array, Dynamic Programming, Greedy"
46,Permutations,/problems/permutations,N,74.9%,Medium,8.46%,"Array, Backtracking"
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,44.09%,"Array, Math, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,18.05%,"Array, Hash Table, String, Sorting"
413,Arithmetic Slices,/problems/arithmetic-slices,N,65.1%,Medium,100.00%,"Array, Dynamic Programming, Sliding Window"
1106,Parsing A Boolean Expression,/problems/parsing-a-boolean-expression,N,58.6%,Hard,0.00%,No Topics Found
362,Design Hit Counter,/problems/design-hit-counter,Y,68.4%,Medium,100.00%,No Topics Found
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,52.0%,Medium,50.00%,"Array, Hash Table, Math, Design, Randomized"
736,Parse Lisp Expression,/problems/parse-lisp-expression,N,47.5%,Hard,1.01%,"Hash Table, String, Stack, Recursion"
381,Insert Delete GetRandom O(1) - Duplicates allowed,/problems/insert-delete-getrandom-o1-duplicates-allowed,N,34.1%,Hard,0.69%,"Array, Hash Table, Math, Design, Randomized"
695,Max Area of Island,/problems/max-area-of-island,N,62.7%,Medium,0.52%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
127,Word Ladder,/problems/word-ladder,N,29.6%,Medium,0.07%,"Hash Table, String, Breadth-First Search"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.05%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
322,Coin Change,/problems/coin-change,N,35.5%,Medium,0.02%,"Array, Dynamic Programming, Breadth-First Search"
230,Kth Smallest Element in a BST,/problems/kth-smallest-element-in-a-bst,N,60.2%,Medium,0.01%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,22.13%,"Array, Backtracking"
40,Combination Sum II,/problems/combination-sum-ii,N,53.3%,Medium,11.09%,"Array, Backtracking"
68,Text Justification,/problems/text-justification,N,36.8%,Hard,8.24%,"Array, String, Simulation"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,3.90%,"Hash Table, String, Sliding Window"
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,N,53.4%,Easy,5.25%,No Topics Found
251,Flatten 2D Vector,/problems/flatten-2d-vector,Y,48.9%,Medium,49.53%,No Topics Found
269,Alien Dictionary,/problems/alien-dictionary,Y,35.3%,Hard,86.47%,No Topics Found
336,Palindrome Pairs,/problems/palindrome-pairs,N,35.2%,Hard,63.06%,"Array, Hash Table, String, Trie"
341,Flatten Nested List Iterator,/problems/flatten-nested-list-iterator,N,61.6%,Medium,17.73%,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,N,38.3%,Hard,8.36%,"Array, Binary Search, Dynamic Programming, Sorting"
432,All O`one Data Structure,/problems/all-oone-data-structure,N,36.7%,Hard,36.95%,"Hash Table, Linked List, Design, Doubly-Linked List"
751,IP to CIDR,/problems/ip-to-cidr,Y,54.7%,Medium,38.39%,No Topics Found
755,Pour Water,/problems/pour-water,Y,46.2%,Medium,100.00%,No Topics Found
773,Sliding Puzzle,/problems/sliding-puzzle,N,63.9%,Hard,67.68%,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
787,Cheapest Flights Within K Stops,/problems/cheapest-flights-within-k-stops,N,35.9%,Medium,36.47%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
864,Shortest Path to Get All Keys,/problems/shortest-path-to-get-all-keys,N,45.4%,Hard,74.84%,"Array, Bit Manipulation, Breadth-First Search, Matrix"
992,Subarrays with K Different Integers,/problems/subarrays-with-k-different-integers,N,54.4%,Hard,11.08%,"Array, Hash Table, Sliding Window, Counting"
1257,Smallest Common Region,/problems/smallest-common-region,Y,64.2%,Medium,31.25%,No Topics Found
1235,Maximum Profit in Job Scheduling,/problems/maximum-profit-in-job-scheduling,N,51.2%,Hard,21.15%,"Array, Binary Search, Dynamic Programming, Sorting"
1166,Design File System,/problems/design-file-system,N,56.8%,Medium,2.72%,No Topics Found
166,Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,N,21.6%,Medium,1.66%,"Hash Table, Math, String"
324,Wiggle Sort II,/problems/wiggle-sort-ii,N,29.9%,Medium,1.30%,"Array, Divide and Conquer, Greedy, Sorting, Quickselect"
875,Koko Eating Bananas,/problems/koko-eating-bananas,N,52.1%,Medium,1.21%,"Array, Binary Search"
1058,Minimize Rounding Error to Meet Target,/problems/minimize-rounding-error-to-meet-target,N,41.7%,Medium,1.04%,No Topics Found
759,Employee Free Time,/problems/employee-free-time,N,66.2%,Hard,0.92%,No Topics Found
756,Pyramid Transition Matrix,/problems/pyramid-transition-matrix,N,54.6%,Medium,0.84%,"Bit Manipulation, Depth-First Search, Breadth-First Search"
843,Guess the Word,/problems/guess-the-word,N,46.1%,Hard,0.45%,No Topics Found
212,Word Search II,/problems/word-search-ii,N,34.9%,Hard,0.35%,"Array, String, Backtracking, Trie, Matrix"
588,Design In-Memory File System,/problems/design-in-memory-file-system,N,45.9%,Hard,0.32%,No Topics Found
10,Regular Expression Matching,/problems/regular-expression-matching,N,26.8%,Hard,0.23%,"String, Dynamic Programming, Recursion"
299,Bulls and Cows,/problems/bulls-and-cows,N,42.4%,Easy,0.18%,"Hash Table, String, Counting"
219,Contains Duplicate II,/problems/contains-duplicate-ii,N,37.7%,Easy,0.15%,"Array, Hash Table, Sliding Window"
385,Mini Parser,/problems/mini-parser,N,33.8%,Medium,0.13%,"String, Stack, Depth-First Search"
198,House Robber,/problems/house-robber,N,42.0%,Easy,0.13%,"Array, Dynamic Programming"
220,Contains Duplicate III,/problems/contains-duplicate-iii,N,20.9%,Medium,0.10%,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
280,Wiggle Sort,/problems/wiggle-sort,N,63.8%,Medium,0.10%,No Topics Found
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,N,45.7%,Medium,0.07%,"Tree, Depth-First Search, Binary Tree"
202,Happy Number,/problems/happy-number,N,50.4%,Easy,0.04%,"Hash Table, Math, Two Pointers"
136,Single Number,/problems/single-number,N,65.5%,Easy,0.03%,"Array, Bit Manipulation"
108,Convert Sorted Array to Binary Search Tree,/problems/convert-sorted-array-to-binary-search-tree,N,57.9%,Easy,0.03%,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,55.4%,Medium,0.02%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
622,Design Circular Queue,/problems/design-circular-queue,N,43.7%,Medium,0.02%,"Array, Linked List, Design, Queue"
221,Maximal Square,/problems/maximal-square,N,37.7%,Medium,0.02%,"Array, Dynamic Programming, Matrix"
217,Contains Duplicate,/problems/contains-duplicate,N,56.0%,Easy,0.02%,"Array, Hash Table, Sorting"
211,Add and Search Word - Data structure design,/problems/add-and-search-word-data-structure-design,N,38.1%,Medium,0.01%,"String, Depth-First Search, Design, Trie"
953,Verifying an Alien Dictionary,/problems/verifying-an-alien-dictionary,N,54.1%,Easy,0.01%,"Array, Hash Table, String"
190,Reverse Bits,/problems/reverse-bits,N,39.8%,Easy,0.01%,"Divide and Conquer, Bit Manipulation"
227,Basic Calculator II,/problems/basic-calculator-ii,N,36.9%,Medium,0.00%,"Math, String, Stack"
415,Add Strings,/problems/add-strings,N,47.5%,Easy,0.00%,"Math, String, Simulation"
1017,Convert to Base -2,/problems/convert-to-base-2,N,59.0%,Medium,0.00%,Math
1041,Robot Bounded In Circle,/problems/robot-bounded-in-circle,N,49.6%,Medium,0.00%,No Topics Found
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,N,69.5%,Hard,0.00%,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
1298,Maximum Candies You Can Get from Boxes,/problems/maximum-candies-you-can-get-from-boxes,N,58.8%,Hard,0.00%,"Array, Breadth-First Search, Graph"
1310,XOR Queries of a Subarray,/problems/xor-queries-of-a-subarray,N,68.7%,Medium,0.00%,"Array, Bit Manipulation, Prefix Sum"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,50.00%,"Hash Table, Linked List, Design, Doubly-Linked List"
510,Inorder Successor in BST II,/problems/inorder-successor-in-bst-ii,Y,61.1%,Medium,100.00%,No Topics Found
961,N-Repeated Element in Size 2N Array,/problems/n-repeated-element-in-size-2n-array,N,73.7%,Easy,0.00%,"Array, Hash Table"
124,Binary Tree Maximum Path Sum,/problems/binary-tree-maximum-path-sum,N,38.5%,Hard,11.21%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
647,Palindromic Substrings,/problems/palindromic-substrings,N,66.4%,Medium,43.24%,"Two Pointers, String, Dynamic Programming"
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,N,53.2%,Medium,72.10%,"Dynamic Programming, Graph, Shortest Path"
1560,Most Visited Sector in a Circular Track,/problems/most-visited-sector-in-a-circular-track,N,58.4%,Easy,100.00%,No Topics Found
713,Subarray Product Less Than K,/problems/subarray-product-less-than-k,N,39.1%,Medium,1.07%,"Array, Binary Search, Sliding Window, Prefix Sum"
1223,Dice Roll Simulation,/problems/dice-roll-simulation,N,45.6%,Medium,0.84%,"Array, Dynamic Programming"
995,Minimum Number of K Consecutive Bit Flips,/problems/minimum-number-of-k-consecutive-bit-flips,N,46.8%,Hard,0.61%,"Array, Bit Manipulation, Queue, Sliding Window, Prefix Sum"
1411,Number of Ways to Paint N × 3 Grid,/problems/number-of-ways-to-paint-n-3-grid,N,61.1%,Hard,0.36%,Dynamic Programming
1177,Can Make Palindrome from Substring,/problems/can-make-palindrome-from-substring,N,34.6%,Medium,0.25%,"Array, Hash Table, String, Bit Manipulation, Prefix Sum"
443,String Compression,/problems/string-compression,N,41.3%,Easy,0.03%,"Two Pointers, String"
743,Network Delay Time,/problems/network-delay-time,N,45.0%,Medium,0.03%,No Topics Found
1048,Longest String Chain,/problems/longest-string-chain,N,54.7%,Medium,0.02%,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,50.5%,Easy,0.01%,"Array, Dynamic Programming"
152,Maximum Product Subarray,/problems/maximum-product-subarray,N,31.7%,Medium,0.01%,"Array, Dynamic Programming"
677,Map Sum Pairs,/problems/map-sum-pairs,N,53.5%,Medium,0.00%,"Hash Table, String, Design, Trie"
740,Delete and Earn,/problems/delete-and-earn,N,48.6%,Medium,0.00%,"Array, Hash Table, Dynamic Programming"
741,Cherry Pickup,/problems/cherry-pickup,N,33.9%,Hard,0.00%,"Array, Dynamic Programming, Matrix"
1425,Constrained Subsequence Sum,/problems/constrained-subsequence-sum,N,44.1%,Hard,0.00%,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
1326,Minimum Number of Taps to Open to Water a Garden,/problems/minimum-number-of-taps-to-open-to-water-a-garden,N,43.6%,Hard,0.00%,"Array, Dynamic Programming, Greedy"
1338,Reduce Array Size to The Half,/problems/reduce-array-size-to-the-half,N,67.0%,Medium,0.00%,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
1370,Increasing Decreasing String,/problems/increasing-decreasing-string,N,75.7%,Easy,0.00%,"Hash Table, String, Counting"
274,H-Index,/problems/h-index,N,38.2%,Medium,100.00%,"Array, Sorting, Counting Sort"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.42%,"Linked List, Recursion"
53,Maximum Subarray,/problems/maximum-subarray,N,46.5%,Easy,0.35%,"Array, Divide and Conquer, Dynamic Programming"
70,Climbing Stairs,/problems/climbing-stairs,N,47.8%,Easy,0.14%,"Math, Dynamic Programming, Memoization"
446,Arithmetic Slices II - Subsequence,/problems/arithmetic-slices-ii-subsequence,N,32.7%,Hard,0.12%,"Array, Dynamic Programming"
460,LFU Cache,/problems/lfu-cache,N,34.2%,Hard,0.07%,"Hash Table, Linked List, Design, Doubly-Linked List"
62,Unique Paths,/problems/unique-paths,N,54.1%,Medium,0.06%,"Math, Dynamic Programming, Combinatorics"
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,43.0%,Hard,0.03%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
678,Valid Parenthesis String,/problems/valid-parenthesis-string,N,31.0%,Medium,0.02%,"String, Dynamic Programming, Stack, Greedy"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.01%,"Array, Sorting"
101,Symmetric Tree,/problems/symmetric-tree,N,46.8%,Easy,0.01%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
94,Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,N,63.3%,Medium,0.01%,"Stack, Tree, Depth-First Search, Binary Tree"
173,Binary Search Tree Iterator,/problems/binary-search-tree-iterator,N,56.6%,Medium,0.01%,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.01%,"String, Stack, Recursion"
666,Path Sum IV,/problems/path-sum-iv,N,54.7%,Medium,0.00%,No Topics Found
548,Split Array with Equal Sum,/problems/split-array-with-equal-sum,N,46.4%,Medium,0.00%,No Topics Found
555,Split Concatenated Strings,/problems/split-concatenated-strings,N,42.2%,Medium,0.00%,No Topics Found
1725,Number Of Rectangles That Can Form The Largest Square,/problems/number-of-rectangles-that-can-form-the-largest-square,N,78.7%,Easy,0.00%,Array
1898,Maximum Number of Removable Characters,/problems/maximum-number-of-removable-characters,N,39.3%,Medium,0.00%,No Topics Found
2341,Maximum Number of Pairs in Array,/problems/maximum-number-of-pairs-in-array,N,76.6%,Easy,0.00%,"Array, Hash Table, Counting"
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,9.87%,String
18,4Sum,/problems/4sum,N,36.4%,Medium,23.89%,"Array, Two Pointers, Sorting"
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,N,32.7%,Hard,28.91%,"String, Dynamic Programming, Stack"
43,Multiply Strings,/problems/multiply-strings,N,38.8%,Medium,1.18%,"Math, String, Simulation"
47,Permutations II,/problems/permutations-ii,N,56.8%,Medium,1.80%,"Array, Backtracking"
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,9.84%,"Math, Recursion"
51,N-Queens,/problems/n-queens,N,63.1%,Hard,19.38%,"Array, Backtracking"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,14.66%,"Array, Matrix, Simulation"
55,Jump Game,/problems/jump-game,N,38.5%,Medium,31.48%,"Array, Dynamic Programming, Greedy"
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,2.36%,Array
58,Length of Last Word,/problems/length-of-last-word,N,40.8%,Easy,1.15%,String
59,Spiral Matrix II,/problems/spiral-matrix-ii,N,66.7%,Medium,18.76%,"Array, Matrix, Simulation"
60,Permutation Sequence,/problems/permutation-sequence,N,43.8%,Hard,12.44%,"Math, Recursion"
61,Rotate List,/problems/rotate-list,N,35.8%,Medium,6.78%,"Linked List, Two Pointers"
63,Unique Paths II,/problems/unique-paths-ii,N,39.1%,Medium,28.00%,"Array, Dynamic Programming, Matrix"
64,Minimum Path Sum,/problems/minimum-path-sum,N,60.7%,Medium,13.30%,"Array, Dynamic Programming, Matrix"
65,Valid Number,/problems/valid-number,N,18.6%,Hard,5.23%,String
66,Plus One,/problems/plus-one,N,43.4%,Easy,1.49%,"Array, Math"
67,Add Binary,/problems/add-binary,N,51.4%,Easy,2.96%,No Topics Found
69,Sqrt(x),/problems/sqrtx,N,37.1%,Easy,1.78%,"Math, Binary Search"
71,Simplify Path,/problems/simplify-path,N,39.2%,Medium,13.23%,"String, Stack"
72,Edit Distance,/problems/edit-distance,N,52.7%,Hard,17.51%,No Topics Found
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,N,50.1%,Medium,16.92%,"Array, Hash Table, Matrix"
74,Search a 2D Matrix,/problems/search-a-2d-matrix,N,47.0%,Medium,25.03%,"Array, Binary Search, Matrix"
75,Sort Colors,/problems/sort-colors,N,57.4%,Medium,15.70%,"Array, Two Pointers, Sorting"
78,Subsets,/problems/subsets,N,74.0%,Medium,15.25%,"Array, Backtracking, Bit Manipulation"
79,Word Search,/problems/word-search,N,39.8%,Medium,44.63%,"Array, String, Backtracking, Matrix"
81,Search in Rotated Sorted Array II,/problems/search-in-rotated-sorted-array-ii,N,35.8%,Medium,7.45%,No Topics Found
82,Remove Duplicates from Sorted List II,/problems/remove-duplicates-from-sorted-list-ii,N,45.5%,Medium,4.08%,"Linked List, Two Pointers"
83,Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,N,49.9%,Easy,1.64%,Linked List
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,34.89%,"Array, Stack, Monotonic Stack"
85,Maximal Rectangle,/problems/maximal-rectangle,N,44.2%,Hard,19.00%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,7.75%,"Array, Two Pointers, Sorting"
90,Subsets II,/problems/subsets-ii,N,55.4%,Medium,9.90%,"Array, Backtracking, Bit Manipulation"
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,24.47%,"String, Dynamic Programming"
92,Reverse Linked List II,/problems/reverse-linked-list-ii,N,45.4%,Medium,24.14%,Linked List
93,Restore IP Addresses,/problems/restore-ip-addresses,N,43.5%,Medium,18.73%,"String, Backtracking"
95,Unique Binary Search Trees II,/problems/unique-binary-search-trees-ii,N,51.6%,Medium,3.92%,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
97,Interleaving String,/problems/interleaving-string,N,37.1%,Medium,2.73%,"String, Dynamic Programming"
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,22.77%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
99,Recover Binary Search Tree,/problems/recover-binary-search-tree,N,50.4%,Medium,35.43%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
100,Same Tree,/problems/same-tree,N,56.4%,Easy,5.60%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
102,Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,N,63.4%,Medium,14.29%,"Tree, Breadth-First Search, Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,45.68%,"Tree, Breadth-First Search, Binary Tree"
104,Maximum Depth of Binary Tree,/problems/maximum-depth-of-binary-tree,N,73.2%,Easy,3.41%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,N,60.8%,Medium,18.61%,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
106,Construct Binary Tree from Inorder and Postorder Traversal,/problems/construct-binary-tree-from-inorder-and-postorder-traversal,N,57.5%,Medium,3.29%,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
107,Binary Tree Level Order Traversal II,/problems/binary-tree-level-order-traversal-ii,N,60.4%,Medium,9.36%,"Tree, Breadth-First Search, Binary Tree"
111,Minimum Depth of Binary Tree,/problems/minimum-depth-of-binary-tree,N,43.6%,Easy,2.69%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
112,Path Sum,/problems/path-sum,N,47.7%,Easy,7.29%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
113,Path Sum II,/problems/path-sum-ii,N,56.7%,Medium,13.45%,"Backtracking, Tree, Depth-First Search, Binary Tree"
114,Flatten Binary Tree to Linked List,/problems/flatten-binary-tree-to-linked-list,N,61.2%,Medium,28.60%,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
116,Populating Next Right Pointers in Each Node,/problems/populating-next-right-pointers-in-each-node,N,59.5%,Medium,10.51%,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
117,Populating Next Right Pointers in Each Node II,/problems/populating-next-right-pointers-in-each-node-ii,N,49.8%,Medium,10.14%,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
118,Pascal's Triangle,/problems/pascals-triangle,N,69.3%,Easy,17.58%,"Array, Dynamic Programming"
119,Pascal's Triangle II,/problems/pascals-triangle-ii,N,59.8%,Easy,3.35%,"Array, Dynamic Programming"
120,Triangle,/problems/triangle,N,54.0%,Medium,15.94%,"Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,/problems/best-time-to-buy-and-sell-stock-ii,N,63.4%,Medium,14.91%,"Array, Dynamic Programming, Greedy"
123,Best Time to Buy and Sell Stock III,/problems/best-time-to-buy-and-sell-stock-iii,N,44.9%,Hard,21.96%,"Array, Dynamic Programming"
125,Valid Palindrome,/problems/valid-palindrome,N,43.7%,Easy,0.36%,"Two Pointers, String"
126,Word Ladder II,/problems/word-ladder-ii,N,27.6%,Hard,45.61%,"Hash Table, String, Backtracking, Breadth-First Search"
128,Longest Consecutive Sequence,/problems/longest-consecutive-sequence,N,48.9%,Medium,23.82%,"Array, Hash Table, Union Find"
129,Sum Root to Leaf Numbers,/problems/sum-root-to-leaf-numbers,N,58.8%,Medium,3.10%,"Tree, Depth-First Search, Binary Tree"
130,Surrounded Regions,/problems/surrounded-regions,N,36.1%,Medium,9.20%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
131,Palindrome Partitioning,/problems/palindrome-partitioning,N,62.5%,Medium,12.37%,"String, Dynamic Programming, Backtracking"
132,Palindrome Partitioning II,/problems/palindrome-partitioning-ii,N,33.6%,Hard,4.76%,"String, Dynamic Programming"
133,Clone Graph,/problems/clone-graph,N,50.8%,Medium,7.30%,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
134,Gas Station,/problems/gas-station,N,45.1%,Medium,24.42%,"Array, Greedy"
135,Candy,/problems/candy,N,40.8%,Hard,47.88%,"Array, Greedy"
137,Single Number II,/problems/single-number-ii,N,57.9%,Medium,5.72%,"Array, Bit Manipulation"
138,Copy List with Random Pointer,/problems/copy-list-with-random-pointer,N,50.6%,Medium,55.25%,"Hash Table, Linked List"
139,Word Break,/problems/word-break,N,45.5%,Medium,37.10%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
140,Word Break II,/problems/word-break-ii,N,44.6%,Hard,59.80%,No Topics Found
141,Linked List Cycle,/problems/linked-list-cycle,N,46.9%,Easy,5.56%,"Hash Table, Linked List, Two Pointers"
142,Linked List Cycle II,/problems/linked-list-cycle-ii,N,46.5%,Medium,6.78%,"Hash Table, Linked List, Two Pointers"
